tipo_frete;peso;valor_total_pedido;data;abreviatura_uf;regiao;grupo_gerencial_produto;conta_numero_pedido_vendedor
CIF;0;0;02/02/2021 00:00;MG;Sudeste;PASSARELA;1
CIF;0;0;05/02/2021 00:00;ES;Sudeste;SERVICOS;1
CIF;0;0;01/03/2021 00:00;SC;Sul;SERVICOS;1
CIF;0;0;23/03/2021 00:00;BA;Nordeste;CARRO SATELITE;1
CIF;0;0;24/03/2021 00:00;SC;Sul;DRIVE IN;1
CIF;0;0;09/02/2021 00:00;MG;Sudeste;DINAMICO;1
CIF;0;0;25/02/2021 00:00;ES;Sudeste;SERVICOS;1
CIF;0;0;12/03/2021 00:00;MT;Centro-Oeste;DRIVE IN;1
CIF;0;0;17/03/2021 00:00;PE;Nordeste;SERVICOS;1
CIF;0;0;29/03/2021 00:00;PR;Sul;PASSARELA;1
CIF;0;0;09/04/2021 00:00;SP;Sudeste;AUTOPORTANTE;1
CIF;0;0;16/04/2021 00:00;RO;Norte;DRIVE IN;1
CIF;0;0;04/11/2020 00:00;MT;Centro-Oeste;DRIVE IN;1
CIF;0;0;24/05/2021 00:00;SP;Sudeste;DRIVE IN;1
CIF;0;0;10/06/2021 00:00;PE;Nordeste;DRIVE IN;1
CIF;0;0;22/07/2021 00:00;RS;Sul;SERVICOS;1
CIF;0;0;30/11/2020 00:00;CE;Nordeste;SERVICOS;1
CIF;0;0;04/12/2020 00:00;MT;Centro-Oeste;DRIVE IN;1
CIF;0;0;04/12/2020 00:00;MT;Centro-Oeste;DRIVE THROUG;1
CIF;0;0;29/12/2020 00:00;RS;Sul;SERVICOS;1
CIF;0;0;08/01/2021 00:00;RS;Sul;SERVICOS;1
CIF;0;0;14/01/2021 00:00;PR;Sul;SERVICOS;1
CIF;0;0;18/01/2021 00:00;SP;Sudeste;DRIVE IN;1
CIF;0;0;17/05/2021 00:00;MG;Sudeste;SERVICOS;1
CIF;0;0;25/06/2021 00:00;SP;Sudeste;PASSARELA;1
CIF;0;0;28/07/2021 00:00;RS;Sul;DRIVE IN;1
CIF;0;0;04/08/2021 00:00;SP;Sudeste;PASSARELA;1
CIF;0;0;15/09/2021 00:00;MT;Centro-Oeste;SERVICOS;1
CIF;0;0;29/01/2021 00:00;PR;Sul;DRIVE IN;1
CIF;0;0;02/02/2021 00:00;MG;Sudeste;MEZANINO;1
CIF;0;0;01/03/2021 00:00;PR;Sul;SERVICOS;1
CIF;0;0;09/03/2021 00:00;SP;Sudeste;DRIVE IN;1
CIF;0;0;30/08/2021 00:00;SC;Sul;DRIVE IN;1
CIF;0;0;28/10/2021 00:00;SP;Sudeste;PUSH BACK;1
CIF;0;0;10/03/2021 00:00;BA;Nordeste;SERVICOS;1
CIF;0;0;28/09/2021 00:00;MT;Centro-Oeste;SERVICOS;1
CIF;0;0;30/09/2021 00:00;RS;Sul;SERVICOS;1
CIF;0;0;15/10/2021 00:00;AM;Norte;DRIVE IN;1
CIF;0;0;22/10/2021 00:00;SP;Sudeste;SERVICOS;1
CIF;0;0;25/10/2021 00:00;PE;Nordeste;SERVICOS;1
CIF;0;0;28/10/2021 00:00;RS;Sul;SERVICOS;1
CIF;0;0;12/11/2021 00:00;PE;Nordeste;SERVICOS;1
CIF;0;0;02/06/2021 00:00;PR;Sul;DINAMICO;1
CIF;0;0;02/06/2021 00:00;SP;Sudeste;DINAMICO;1
CIF;0;0;22/06/2021 00:00;SP;Sudeste;DRIVE IN;1
CIF;0;0;23/11/2021 00:00;BA;Nordeste;DRIVE IN;1
CIF;0;0;26/11/2021 00:00;MG;Sudeste;AUTOPORTANTE;1
CIF;0;0;30/11/2021 00:00;EX;Exterior;SERVICOS;1
CIF;0;0;30/11/2021 00:00;MG;Sudeste;SERVICOS;1
CIF;0;0;05/01/2022 00:00;PR;Sul;PUSH BACK;1
CIF;0;0;21/07/2021 00:00;MT;Centro-Oeste;DRIVE IN;1
CIF;0;0;02/08/2021 00:00;CE;Nordeste;PUSH BACK;1
CIF;0;0;03/08/2021 00:00;SP;Sudeste;FLOW RACK;1
CIF;0;0;17/08/2021 00:00;PR;Sul;SERVICOS;1
